Institute_name,Grid_id,Type,Established_year,Institute_link,Wikipedia_link,Alias_list,City,City_geoNames_Code,City_geoNames_id,Country,Country_geoNames_Code,Country_geoNames_id,NUTS1_name,NUTS1_code,NUTS2_name,NUTS2_code,NUTS3_name,NUTS3_code
École Nationale Supérieure des Ingénieurs en Arts Chimiques et Technologiques,grid.434212.2,Education,1906 CE,http://www.ensiacet.fr/fr,https://en.wikipedia.org/wiki/%C3%89cole_Nationale_Sup%C3...,"INP-ENSIACET,",Toulouse,,,France,FR,,SUD-OUEST,FR6,Midi-Pyrénées,FR62,Haute-Garonne,FR623
AvanSci Bio (United States),grid.432073.1,Company,2011 CE,https://avanscibio.com/,,,Salt Lake City,,,United States,US,,,,,,,
HiQScreen (Switzerland),grid.434886.5,Company,2007 CE,https://www.hiqscreen.com/,,,Genève,,,Switzerland,CH,,,,,,,
Aeron LifeCycles (United States),grid.432567.1,Company,,,,,San Leandro,,,United States,US,,,,,,,
Tribal Group,grid.434422.7,Company,1999 CE,http://www.tribalgroup.com/Pages/default.aspx,https://en.wikipedia.org/wiki/Tribal_Group,,Bristol,,,United Kingdom,GB,,SOUTH WEST (ENGLAND),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12
Diversified Maintenance Systems (United States),grid.434210.0,Company,1996 CE,http://www.dmsutah.com/,,"DMS,",Salt Lake City,,,United States,US,,,,,,,
Fdt Depuratori d' Acqua (Italy),grid.434424.1,Company,,,,,Brugherio,,,Italy,IT,,NORD-OVEST,ITC,Lombardia,ITC4,Milano,ITC4C
Smithsonian Libraries,grid.432623.2,Archive,1846 CE,http://library.si.edu/,https://en.wikipedia.org/wiki/Smithsonian_Libraries,"Smithsonian Institution Libraries,SIL,","Washington, D.C.",,,United States,US,,,,,,,
Divine Word Missionaries,grid.434204.5,Other,1875 CE,http://www.svdvocations.org/,https://en.wikipedia.org/wiki/Divine_Word_Missionaries,"Divine Word Missionaries,Steyler Missionaries,SVD,",Northbrook,,,United States,US,,,,,,,
Eidon (Italy),grid.434431.5,Company,,,,,Udine,,,Italy,IT,,NORD-EST,ITH,Friuli-Venezia Giulia,ITH4,Udine,ITH42
Brighton Technologies Group (United States),grid.432565.3,Company,1995 CE,https://btgau.com.au/,,,Cincinnati,,,United States,US,,,,,,,
Ansys (Canada),grid.432624.5,Company,1970 CE,http://www.ansys.com/,,,Waterloo,,,Canada,CA,,,,,,,
Eikos (United States),grid.434435.1,Company,1996 CE,https://www.eikos.com/,https://en.wikipedia.org/wiki/Eikos,,Franklin,,,United States,US,,,,,,,
Becs Technology (United States),grid.432562.4,Company,1991 CE,http://www.becs.com/,,"Engineering, Innovations and Designs,",St. Louis,,,United States,US,,,,,,,
Chart Industries (United Kingdom),grid.433100.5,Company,1992 CE,http://www.chartindustries.com/,,,Pershore,,,United Kingdom,GB,,WEST MIDLANDS (ENGLAND),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
Siamab Therapeutics (United States),grid.434443.0,Company,2006 CE,https://www.siamab.com/,,,Newton,,,United States,US,,,,,,,
Aeromics (United States),grid.432560.6,Company,2008 CE,https://www.aeromics.com/,,,Cleveland,,,United States,US,,,,,,,
Ekspobalta (Lithuania),grid.434450.2,Company,1996 CE,http://www.ekspobalta.com/en/,,,Vilnius,,,Lithuania,LT,,LIETUVA,LT0,Lietuva,LT00,Vilniaus apskritis,LT00A
Associated Bonded Cables (United Kingdom),grid.432553.6,Company,1990 CE,http://www.associatedbondedcables.com/,,,Bootle,,,United Kingdom,GB,,NORTH WEST (ENGLAND),UKD,Merseyside,UKD7,Sefton,UKD73
Perma-Fix (United States),grid.434202.3,Company,1991 CE,http://www.perma-fix.com/,,,Atlanta,,,United States,US,,,,,,,
Associated Dental Products (United Kingdom),grid.432552.7,Company,1922 CE,http://www.kemdent.co.uk/,,,Swindon,,,United Kingdom,GB,,SOUTH WEST (ENGLAND),UKK,"Gloucestershire, Wiltshire and Bristol/Bath area",UKK1,Swindon,UKK14
Ripamonti,grid.434201.0,Company,1934 CE,http://www.ripamonti.net/,,,Ornavasso,,,Italy,IT,,NORD-OVEST,ITC,Piemonte,ITC1,Verbano-Cusio-Ossola,ITC14
Aeromet International (United Kingdom),grid.432551.4,Company,1974 CE,https://www.aeromet.co.uk/,,,Worcester,,,United Kingdom,GB,,WEST MIDLANDS (ENGLAND),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
Frantic Films (Canada),grid.434461.0,Company,1997 CE,http://www.franticfilms.com/,https://en.wikipedia.org/wiki/Frantic_Films,,Winnipeg,,,Canada,CA,,,,,,,
Giraf PM (Germany),grid.434462.3,Company,,http://www.giraf-pm.com/,,,Saarbrücken,,,Germany,DE,,SAARLAND,DEC,Saarland,DEC0,Regionalverband Saarbrücken,DEC01
Systems Engineering Society of China,grid.507042.4,Other,1980 CE,http://www.sesc.org.cn,,"SESC,",Beijing,,,China,CN,,,,,,,
State Administration of Foreign Exchange,grid.507050.7,Government,1978 CE,http://www.safe.gov.cn/,https://en.wikipedia.org/wiki/State_Administration_of_For...,"SAFE,",Beijing,,,China,CN,,,,,,,
Tianjin Synthetic Material Research Institute (China),grid.507051.6,Company,1957 CE,http://www.tsmri.cn/,,"TSMRI,",Tianjin,,,China,CN,,,,,,,
Tongliao Academy of Agricultural Sciences,grid.507052.5,Facility,1949 CE,http://www.tlsnky.com/,,"Tongliao Agricultural Science Research Institute,",Tongliao,,,China,CN,,,,,,,
Xinjiang New Energy Research Institute (China),grid.507059.e,Company,,http://www.xjner.net/,,,Xinjiang,,,China,CN,,,,,,,
Wuchang University of Technology,grid.507061.5,Education,1997 CE,http://www.wut.edu.cn/,,"WUT,",Wuhan,,,China,CN,,,,,,,
Wuhan Prevention and Treatment Center for Occupational Diseases,grid.507063.7,Healthcare,1970 CE,http://www.whzfy.org.cn/,,,Wuhan,,,China,CN,,,,,,,
Xian Mechanical & Electric Institute (China),grid.507064.0,Company,1987 CE,http://www.xmei.com.cn/,,"XMEI,",Xi’an,,,China,CN,,,,,,,
Children’s Hospital of Fudan University Xiamen Branch,grid.507065.1,Healthcare,2014 CE,http://www.xmsetyy.cn/,,"Xiamen Children’s Hospital,",Xiamen,,,China,CN,,,,,,,
Departamento de Epidemiología,grid.507071.4,Government,,http://epidemiologia.mspas.gob.gt/,,"Centro Nacional de Epidemiología,",Guatemala City,,,Guatemala,GT,,,,,,,
Grup CHM Mental Salut,grid.507072.7,Nonprofit,1975 CE,http://www.grupchmsm.com/,,,Barcelona,,,Spain,ES,,ESTE,ES5,Cataluña,ES51,Barcelona,ES511
Center for Research in Molecular Medicine and Chronic Diseases,grid.507073.6,Facility,2010 CE,https://www.usc.es/cimus/en,,"CiMUS,",Santiago de Compostela,,,Spain,ES,,NOROESTE,ES1,Galicia,ES11,A Coruña,ES111
Andalusian Agency for Healthcare Quality,grid.507081.b,Other,2002 CE,https://www.sspa.juntadeandalucia.es/agenciadecalidadsani...,,"ACSA,",Sevilla,,,Spain,ES,,SUR,ES6,Andalucía,ES61,Sevilla,ES618
Biobanco del Sistema Sanitario Público de Andalucía,grid.507083.9,Other,,http://www.juntadeandalucia.es/salud/biobanco/nosotros/somos,,"SSPA,",Granada,,,Spain,ES,,SUR,ES6,Andalucía,ES61,Granada,ES614
Fundación Andaluza Beturia para la Investigación en Salud,grid.507084.e,Nonprofit,2005 CE,http://www.fabis.org/,,"FABIS,",Huelva,,,Spain,ES,,SUR,ES6,Andalucía,ES61,Huelva,ES615
Instituto de Biología y Genética Molecular,grid.507089.3,Facility,1998 CE,http://www.ibgm.med.uva.es,,"IBGM,",Valladolid,,,Spain,ES,,CENTRO (ES),ES4,Castilla y León,ES41,Valladolid,ES418
Instituto de Instrumentación para Imagen Molecular,grid.507091.a,Facility,2010 CE,https://www.i3m.upv.es,,"Instituto i3M,I3M,",Valencia,,,Spain,ES,,ESTE,ES5,Comunidad Valenciana,ES52,Valencia / València,ES523
Instituto Sindical de Trabajo Ambiente y Salud,grid.507092.9,Nonprofit,1996 CE,https://istas.net/istas,,"ISTAS,",Valencia,,,Spain,ES,,ESTE,ES5,Comunidad Valenciana,ES52,Valencia / València,ES523
Advanced Functional Fabrics of America,grid.507099.2,Nonprofit,2016 CE,http://go.affoa.org/,https://en.wikipedia.org/wiki/Advanced_Functional_Fabrics...,"AFFOA,",Cambridge,,,United States,US,,,,,,,
Cohen Veterans Bioscience,grid.507100.3,Nonprofit,2012 CE,https://www.cohenveteransbioscience.org/,,,Cambridge,,,United States,US,,,,,,,
Fundação de Apoio à Universidade do Rio Grande,grid.507101.2,Nonprofit,1998 CE,http://www.faurg.furg.br/,,"FAURG,",Rio Grande,,,Brazil,BR,,,,,,,
Alivio Therapeutics (United States),grid.507102.1,Company,,http://www.aliviotherapeutics.com/team,,,Boston,,,United States,US,,,,,,,
ContraFect (United States),grid.507103.0,Company,2008 CE,https://www.contrafect.com/,,"CFRX,",Yonkers,,,United States,US,,,,,,,
Amicrobe (United States),grid.507104.7,Company,2010 CE,https://www.amicrobe.com/,,,Carlsbad,,,United States,US,,,,,,,
Gel4Med (United States),grid.507105.6,Company,2015 CE,https://www.gelformed.com/,,,Boston,,,United States,US,,,,,,,
India China Economic and Cultural Council,grid.464930.c,Government,2003 CE,http://www.icec-council.org/,,"ICEC,",New Delhi,,,India,IN,,,,,,,
Karnataka Fisheries Development Corporation,grid.464931.d,Government,1970 CE,http://kfdcfish.com/,,"KFDC,",Mangalore,,,India,IN,,,,,,,
ClariTrac (United States),grid.470248.d,Company,2009 CE,http://claritracinc.com/,,,Santa Monica,,,United States,US,,,,,,,
Manhattan Medical Research,grid.477513.3,Facility,2013 CE,http://www.manhattanmedicalresearch.com/,,"MMR,",New York City,,,United States,US,,,,,,,
Natco Pharma (India),grid.464942.9,Company,1981 CE,http://natcopharma.co.in/,,,Hyderabad,,,India,IN,,,,,,,
Rajamangala University of Technology Krungthep,grid.464685.d,Education,2005 CE,http://www.rmutk.ac.th/,,"RMUTK,",Bangkok,,,Thailand,TH,,,,,,,
Institute of Finance and Trade Economics,grid.464635.6,Facility,1978 CE,,,,Beijing,,,China,CN,,,,,,,
Network for Preventive Environmental Management,grid.464949.2,Other,2002 CE,http://www.netpem.org/,,"NetPEM,",Nagpur,,,India,IN,,,,,,,
West African Health Organisation,grid.464557.1,Government,1987 CE,http://www.wahooas.org/index2.php?lang=en,,"WAHO,",Bobo-Dioulasso,,,Burkina Faso,BF,,,,,,,
Nidan,grid.464951.b,Nonprofit,1996 CE,http://nidan.in/,https://en.wikipedia.org/wiki/Nidan_(NGO),,Patna,,,India,IN,,,,,,,
Mehrangarh Museum Trust,grid.464952.8,Archive,1972 CE,http://www.mehrangarh.org/,,,Jodhpur,,,India,IN,,,,,,,
American Military University,grid.464516.4,Education,1991 CE,https://www.amu.apus.edu/,,,Charles Town,,,United States,US,,,,,,,
Lanco Solar (India),grid.464964.d,Company,1986 CE,http://www.lancosolar.com/,,,Gurgaon,,,India,IN,,,,,,,
Yunnan Provincial Hospital of Traditional Chinese Medicine,grid.464504.7,Healthcare,1947 CE,http://www.yn-tcm-hospital.com/sitefiles/services/cms/pag...,,,Kunming,,,China,CN,,,,,,,
Consumer Goods Council of South Africa,grid.463195.c,Other,2002 CE,https://www.cgcsa.co.za/cgcsa,,"CGCSA,",Johannesburg,,,South Africa,ZA,,,,,,,
Yunnan Animal Science and Veterinary Institute,grid.464487.d,Facility,1959 CE,http://www.asvi.cn/,,"Yunnan Animal Husbandry and Veterinary Sciences,Yunnan Academy of Animal Husbandry and Veterinary Medicine,",Kunming,,,China,CN,,,,,,,
SinoGenoMax (China),grid.464464.0,Company,1998 CE,http://www.sinogenomax.com/,,,Beijing,,,China,CN,,,,,,,
Mahindra and Mahindra Limited (India),grid.464976.e,Company,1945 CE,http://www.mahindra.com/investors/mahindra-and-mahindra,https://en.wikipedia.org/wiki/Mahindra_%26_Mahindra,"M&M,",Mumbai,,,India,IN,,,,,,,
Centre pour l’Environnement et le Développement,grid.463189.1,Nonprofit,1994 CE,http://www.cedcameroun.org/,,"CED,",Yaoundé,,,Cameroon,CM,,,,,,,
Ministry of Agriculture & Farmers Welfare,grid.464979.1,Government,1871 CE,http://agriculture.gov.in/,https://en.wikipedia.org/wiki/Ministry_of_Agriculture_%26...,"Ministry of Agriculture,",New Delhi,,,India,IN,,,,,,,
Chamber of Commerce and Industry of Tunis,grid.463188.0,Other,1885 CE,http://www.ccitunis.org.tn/en/,,"CCIT,",Tunis,,,Tunisia,TN,,,,,,,
Sino-Japan Friendship Center for Environmental Protection,grid.464462.6,Government,1996 CE,http://www.china-epc.cn/,,"MEP Environmental Development Center,",Beijing,,,China,CN,,,,,,,
Chambre de Commerce et d'Industrie du Centre,grid.463187.f,Other,1892 CE,http://www.ccicentre.org.tn/,,"CCIC,",Sousse,,,Tunisia,TN,,,,,,,
Centre for Educational Development in Health Arusha,grid.463186.e,Government,1983 CE,http://www.cedha.ac.tz/,,"CEDHA,",Arusha,,,Tanzania,TZ,,,,,,,
Sanmar Group (India),grid.465017.1,Company,1970 CE,http://sanmargroup.com/,,,Chennai,,,India,IN,,,,,,,
InternetSpeech (United States),grid.454444.1,Company,1998 CE,http://www.internetspeech.com/,,,San Jose,,,United States,US,,,,,,,
DakotaLink (United States),grid.454445.0,Company,1999 CE,http://www.dakotalink.net/,,,Rapid City,,,United States,US,,,,,,,
Nevada Department of Employment Training and Rehabilitation,grid.454456.2,Other,1993 CE,http://www.nvdetr.org/,,,Carson City,,,United States,US,,,,,,,
Commission on Rehabilitation Counselor Certification,grid.454457.3,Nonprofit,1974 CE,https://www.crccertification.com/,https://en.wikipedia.org/wiki/Commission_on_Rehabilitatio...,"CRCC,",Schaumburg,,,United States,US,,,,,,,
Aanderaa (Norway),grid.457476.3,Company,1966 CE,http://www.aanderaa.com/,,,Bergen,,,Norway,NO,,,,,,,
Alliance for Technology Access,grid.454466.1,Nonprofit,1989 CE,http://www.ataccess.org/,,"ATA,",Jackson,,,United States,US,,,,,,,
PR & Company (United States),grid.454467.0,Company,,http://prandcompany.com/,,,San Francisco,,,United States,US,,,,,,,
Lee County Board of Commissioners,grid.454468.f,Government,1887 CE,http://www.leegov.com/bocc,,,Fort Myers,,,United States,US,,,,,,,
Liberating Technologies (United States),grid.454469.e,Company,2001 CE,http://www.liberatingtech.com/,,"LTI,",Holliston,,,United States,US,,,,,,,
Good Nutrition Ideas (United States),grid.454478.e,Company,2010 CE,http://www.goodnutritionideas.com/,,,Missoula,,,United States,US,,,,,,,
Amtrak (United States),grid.454479.f,Company,1971 CE,http://www.amtrak.com/,https://en.wikipedia.org/wiki/Amtrak,,"Washington, D.C.",,,United States,US,,,,,,,
Positive Behavioral Solutions,grid.454480.9,Nonprofit,,http://www.positivebehavioralsolutions.org/index.html,,,Fletcher,,,United States,US,,,,,,,
PresenceLearning (United States),grid.454481.8,Company,2009 CE,http://www.presencelearning.com/,,,San Francisco,,,United States,US,,,,,,,
Matheny Hospital,grid.454491.9,Healthcare,1954 CE,http://www.matheny.org/hospital/,,,Peapack,,,United States,US,,,,,,,
Abalonyx (Norway),grid.457482.8,Company,2005 CE,http://www.abalonyx.no/,,,Oslo,,,Norway,NO,,,,,,,
Seamless Solutions (United States),grid.454498.0,Company,1985 CE,http://www.seamlesssolutions.com/,,,Houston,,,United States,US,,,,,,,
Nian-Crae (United States),grid.454499.1,Company,1988 CE,http://wp1.niancrae.com/,,,Somerset,,,United States,US,,,,,,,
Meeting the Challenge (United States),grid.454500.0,Company,1989 CE,http://www.mtc-inc.com/,,"MTC,",Colorado Springs,,,United States,US,,,,,,,
Sensory Access Foundation,grid.454509.9,Nonprofit,1973 CE,http://www.sensoryaccess.com/,,,Sunnyvale,,,United States,US,,,,,,,
Synfonica (United States),grid.454510.1,Company,2004 CE,http://www.synfonicaspeech.com/,,"NovaSpeech LLC,",Ithaca,,,United States,US,,,,,,,
Missouri Department of Labor and Industrial Relations,grid.454511.0,Government,1991 CE,http://labor.mo.gov/,,,Jefferson City,,,United States,US,,,,,,,
